fiscalDateEnding_income,reportedCurrency_income,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,date,fiscalDateEnding_balance,reportedCurrency_balance,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2010-06-30,USD,7194444,9883821,2689377,2689377,1724336,1624071,0,5470108,None,None,None,234220,None,None,None,3828012,1607226,620000,None,0,None,1841446,5669458,987226,2010-06-30,2010-06-30,USD,261784360,65965869,39486949,39486949,8333728,17841344,195818491,148751000,None,None,None,None,None,None,None,303848,None,29362184,19568886,15086298,None,None,None,9793298,None,400000,None,None,400000,4482588,None,232422176,None,9509614,51597,5214518
2010-03-31,USD,6243318,7221514,978196,978196,2624578,1706968,0,3618740,None,None,None,175896,None,None,None,1908235,2536630,977000,None,0,None,3792377,5700612,1559630,2010-03-31,2010-03-31,USD,148549202,34204202,1153583,1153583,7021581,8231812,114345000,113068000,None,None,None,None,None,None,17483941,7334866,None,21743335,16392207,13495727,None,None,31377,5351128,None,2800000,None,None,2831377,2865103,None,126805867,None,2401522,44933,4454446
2009-12-31,USD,5512091,6432175,920084,920084,1355011,431995,0,2920268,None,None,None,2791666,None,None,None,2175887,1352183,301000,None,0,None,2904209,5080096,1051183,2009-12-31,2009-12-31,USD,135594968,42017813,6233372,6233372,3654640,7025011,93577155,92150000,None,None,None,None,None,None,24903476,3855954,None,12035518,8910256,6419534,None,None,834492,3125262,None,500000,None,None,1334492,1656230,None,123559450,None,841892,43912,4409855
2009-09-30,USD,4182562,4855972,673410,673410,2325657,896877,0,1856905,None,None,None,535850,None,None,None,851394,2647246,1059000,None,0,None,2432985,3284379,1588246,2009-09-30,2009-09-30,USD,83053674,9637976,288042,288042,665388,5989190,73415698,71349000,None,None,None,None,None,None,1820903,1539841,None,18918286,8055210,4887047,None,None,838397,10863076,None,9500000,None,None,10338397,2329766,None,64135388,None,-209291,36770,3694157
2009-06-30,USD,1965933,2275084,309151,309151,666167,555316,0,1299766,None,None,None,278486,None,None,None,870932,526924,211000,None,0,None,537608,1408540,315924,2009-06-30,2009-06-30,USD,96089654,21876015,13634518,13634518,None,3678586,74213639,71838000,None,None,None,None,None,None,2574935,1987976,None,34256590,16022330,4519824,None,None,1638382,18234260,None,16500000,None,None,18138382,9864124,None,61833064,None,-2013050,36692,3474103
2009-03-31,USD,505564,658268,152704,152704,-468798,568635,0,974362,None,None,None,43527,None,None,None,444564,-512325,-205000,None,0,None,-509029,-64465,-307325,2009-03-31,2009-03-31,USD,67088944,5670943,640104,640104,1509103,2688283,61418000,57193000,None,None,None,None,None,None,None,2342556,None,17440745,10597829,3977145,None,None,2142057,6842916,None,6000000,None,None,8142057,4478627,None,49648199,None,-2328974,34393,3422392
2008-12-31,USD,505564,658268,152704,152704,-468798,568635,0,974362,None,None,None,43527,None,None,None,444564,-512325,-205000,None,0,None,-468798,-24234,-307325,2008-12-31,2008-12-31,USD,67088944,5670943,640104,640104,None,2688283,61418001,55233000,None,None,None,None,None,None,None,2342556,None,17440745,10597829,3977145,None,None,2142057,6842916,None,None,None,None,8142057,4478627,None,49648199,None,-2328974,34393,3422392
2008-09-30,USD,1344577,1362655,18078,18078,716698,355103,0,627879,None,None,None,190848,None,None,None,203103,871819,-310242,None,0,None,716698,919801,871819,2008-09-30,2008-09-30,USD,51285555,8541447,6772167,6772167,146273,1541207,42744108,39423000,None,None,None,None,None,None,3389350,228073,None,4377361,4377361,770771,None,None,988439,1759210,None,None,None,None,988439,2618151,None,46908194,None,-3413393,34025,3441498
2008-06-30,USD,1344577,1362655,18078,18078,561577,355103,0,627879,None,None,None,310242,None,None,None,203103,871819,-310242,None,0,None,561577,764680,1182061,2008-06-30,2008-06-30,USD,51285555,8541447,6772167,6772167,None,1541207,42744108,20729000,None,None,None,None,None,None,3389350,81800,None,4377361,4377361,770771,None,None,988439,1759210,None,None,None,None,988439,2618151,None,46908194,None,-3413393,34025,3441498
2008-03-31,USD,273537,287029,13492,13492,-283546,507883,0,557083,None,None,None,96269,None,None,None,49200,-187277,-193838,None,0,None,-283546,-234346,-187277,2008-03-31,2008-03-31,USD,20909888,5962838,1967740,1967740,None,220015,14947050,14947000,None,None,None,None,None,None,3659450,335648,None,2194099,2194099,481696,None,None,1519487,2001183,None,None,None,None,1519487,192916,None,18715789,None,-4568677,28901,2884973
2007-12-31,USD,0,0,0,0,-3011263,3011263,0,3011263,None,None,None,141914,None,None,None,2666,-2869349,-283828,None,0,None,-3011263,-3008597,-2869349,2007-12-31,2007-12-31,USD,18131464,10502630,10112660,10112660,None,None,7628834,7628000,None,None,None,None,None,None,None,389970,None,224247,224247,113254,None,None,None,113254,None,None,None,None,None,110993,None,17907217,None,-4381400,28696,2884973
2007-09-30,USD,0,0,0,0,-309487,309487,0,309487,None,None,None,42189,None,None,None,260,-267298,-84378,None,0,None,-309487,-309227,-267298,2007-09-30,2007-09-30,USD,18313637,11821436,11440348,11440348,None,None,6492201,6493000,None,None,None,None,None,None,None,381088,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18313637,None,-1512051,27699,2296784
2007-06-30,USD,0,0,0,0,-1108470,889072,0,889072,None,None,None,13660,None,None,None,260,-1094810,630874,None,0,None,-894720,-894460,-1094810,2007-06-30,2007-06-30,USD,2691324,768795,580805,580805,24375,51776,1922529,1912000,None,None,None,None,None,None,None,136214,None,113649,113649,113649,None,None,None,113649,None,None,None,None,None,None,None,2577675,None,-1458503,22809,2272895
2007-03-31,USD,-136469,-136469,0,0,-297719,297719,0,297719,None,None,None,10133,None,None,None,260,-287586,-20266,None,0,None,-297719,-297459,-287586,2007-03-31,2007-03-31,USD,2796581,986676,924148,924148,None,None,1809905,1810000,None,None,None,None,None,None,None,62528,None,33339,33339,33339,None,None,None,33339,None,None,None,None,None,None,None,2763242,None,-363693,22664,2019683
2006-12-31,USD,None,None,None,None,-1917,1917,None,1917,None,None,None,None,None,None,None,None,-1917,None,None,None,None,-1917,-1917,-1917,2006-12-31,2006-12-31,USD,None,100000,100000,100000,None,None,200000,None,None,None,None,None,None,None,None,None,None,38567,38567,1095,None,None,37472,38567,None,None,None,None,37472,-18,None,-38567,None,-2114727,2362,2019683
2006-09-30,USD,None,None,None,None,-1050,1050,None,1050,None,None,None,None,None,None,None,None,-1050,None,None,None,None,-1050,-1050,-1050,2006-09-30,2006-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36650,36650,370,None,None,36280,36650,None,None,None,None,36280,5839,None,-36650,None,-2112810,2362,236167
2006-06-30,USD,None,None,None,None,-680,680,None,680,None,None,None,None,None,None,None,None,-680,None,None,None,None,-680,-680,-680,2006-06-30,2006-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,35600,35600,-15,None,None,35600,35600,None,None,None,None,35600,15,None,-35600,None,-2111760,2358,235819
2006-03-31,USD,None,None,None,None,-4109,4109,None,4109,None,None,None,None,None,None,None,None,-4109,None,None,None,None,-4109,-4109,-4109,2006-03-31,2006-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,34920,34920,227,None,None,34693,34920,None,None,None,None,34693,None,None,-34920,None,-2111080,2358,235799
2005-12-31,USD,None,None,None,None,-26627,1627,None,26627,None,None,None,25000,None,None,None,75000,-1627,-25000,None,None,None,-14360,60640,-1627,2005-12-31,2005-12-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30811,30811,15,None,None,30796,30811,None,None,None,None,30796,None,None,-30811,None,-2106971,2358,235799
2005-09-30,USD,None,None,None,None,-1032,1032,None,1032,None,None,None,None,None,None,None,None,-1032,None,None,None,None,-1032,-1032,-1032,2005-09-30,2005-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29184,29184,317,None,None,28867,29184,None,None,None,None,28867,None,None,-29184,None,-2105344,2358,236147
2005-06-30,USD,None,None,None,None,22765,2235,None,2235,None,None,None,None,None,None,None,-75000,22765,50000,None,None,None,22765,-52235,22765,2005-06-30,2005-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28152,28152,1363,None,None,26789,28152,None,None,None,None,26789,None,None,-28152,None,-2104312,2358,235799
2005-03-31,USD,None,None,None,None,-7373,7373,None,7373,None,None,None,None,None,None,None,None,-7373,None,None,None,None,-7373,-7373,-7373,2005-03-31,2005-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50917,50917,10390,None,None,40527,50917,None,None,None,None,40527,None,None,-50917,None,-2127077,2358,235799
